id,str1,str2,time3,int4
2927,Qh2T4,NvI,04/04/2002 05:06 AM,415653
2928,aOLR7,u,03/27/1999 01:47 AM,870913
2929,4CO,S,07/10/1974 12:56 PM,839787
2930,pk,bWD,10/11/2011 03:42 AM,162448
2931,2n,ISwX,11/03/1999 04:34 PM,470499
2932,TQ,byd2,10/14/2007 10:27 AM,777984
2933,Ctu,TOoS,01/03/2005 05:54 PM,106957
2934,tEg7G,BFX,10/20/2001 10:36 AM,327057
2935,lv,c,01/08/1974 05:42 AM,224351
2936,ldEQx,ApXf,03/15/1990 07:45 AM,725014
2937,IT,n,04/28/1970 05:58 AM,408081
2938,6W3,6SdL,07/23/1973 11:02 PM,48932
2939,Bc,O,09/06/1999 11:02 AM,418288
2940,DpbxC,C,04/12/2002 06:53 AM,873268
2941,e7hS,xBCxf,01/13/1984 05:09 AM,580947
2942,M2e,nGSC,03/13/1994 01:00 PM,562098
2943,Teml,Dd,09/05/2000 10:53 AM,580826
2944,qdksL,jhys,11/16/2014 02:59 AM,855030
2945,1xJL,8jkq,02/09/1986 05:22 PM,533266
2946,3PnU,f9J,09/05/1991 11:23 PM,490153
2947,ff,qk,07/07/1996 01:50 AM,330349
2948,n,Dc,12/19/2010 07:41 AM,681369
2949,b,FCY,12/11/1986 05:56 PM,316083
2950,uP3ZC,xFG5K,12/11/1979 04:12 AM,766505
2951,Y7,Ocl,01/26/2001 08:12 PM,481961
2952,8s,W,01/26/1993 07:18 PM,800252
2953,pKCK,mG,07/28/2004 10:57 PM,769721
2954,pp,BM1c,04/17/1996 11:19 AM,143008
2955,ducN,OTOE,04/28/2001 10:07 PM,399885
2956,BzzxL,MAIUI,07/31/1990 01:51 AM,605902
2957,L,kdNU,12/14/1993 11:53 PM,772428
2958,1O,v3,06/28/1977 03:42 PM,594393
2959,x,EU,12/05/2004 08:57 PM,687508
2960,QYWld,5bUim,03/19/1989 07:06 PM,632389
2961,c,1gh,02/09/1997 10:00 AM,216707
2962,EM,D,06/16/2003 09:55 PM,43954
2963,3v,n,03/07/2013 09:42 AM,383446
2964,ePU,pl3j,08/02/1973 04:53 PM,228459
2965,n,z,01/24/1981 08:43 PM,81477
2966,91c6k,M,10/03/1974 02:48 PM,697391
2967,r6,H,05/22/1991 10:04 AM,409169
2968,yGsO,n6C2,06/19/1992 09:59 PM,117856
2969,wmQW,vxl2,09/30/1980 07:19 PM,591188
2970,rGH,VrA,12/26/1970 05:17 AM,485716
2971,DOAW,kum,09/26/2002 11:15 PM,279833
2972,XJ3F,d4QB,07/27/1981 01:23 AM,235862
2973,ll,V,08/25/2007 01:37 AM,519130
2974,KZf,YKsH,05/01/1979 08:16 PM,775147
2975,tNUF,LrO,12/31/1981 01:05 AM,132084
2976,pFHyt,h3l3X,12/15/1996 03:04 PM,946738
2977,DUX,hpzf6,02/19/2014 10:33 PM,264850
2978,s2NLN,zyz,04/27/2014 09:09 AM,912302
2979,vfe,U,08/12/2002 09:29 PM,403893
2980,28n,Ec,06/29/2014 02:31 PM,287617
2981,WzVDg,eb,03/03/2008 05:18 PM,758628
2982,8yKi,gG,12/10/1991 08:14 AM,421432
2983,O,65iyR,10/08/1979 03:49 AM,427241
2984,s4sFN,O,10/25/1976 02:04 PM,518732
2985,ZRD,kfi,12/05/2013 01:00 AM,667751
2986,afo,vf,02/05/1994 08:57 AM,215923
2987,CcD,k,10/19/1996 05:43 PM,39634
2988,ov9Q,iWOfV,10/26/1973 09:55 PM,468516
2989,R,k,01/16/1974 09:03 PM,569704
2990,iW,GBoU,03/21/1986 09:03 AM,6181
2991,v,pg9gn,12/13/1996 06:53 PM,712420
2992,SFZgS,jOJ,03/14/1973 01:33 PM,352536
2993,omeeU,LRQB,05/24/1980 02:25 AM,100894
2994,pLrGc,rT7V,07/07/1977 08:28 AM,618932
2995,Q,un,06/12/2001 02:40 AM,723483
2996,eH2,OSfW,10/11/2009 08:57 AM,705033
2997,NDXdC,P,07/05/2004 09:36 AM,192289
2998,MVy,cS,11/19/2003 12:29 PM,767380
2999,1,Kfa9W,11/16/1992 09:45 AM,730503
3000,NaxI,l4,04/28/2003 03:10 AM,986601
3001,F9,prqu,05/08/1978 12:07 PM,299773
3002,D,nW,10/16/2001 01:27 AM,172435
3003,I5tO,TGW1,07/13/1971 10:58 AM,829335
3004,kWgt5,Np,07/22/2008 09:57 PM,691476
3005,dp,qJc,08/24/1991 08:55 AM,225688
3006,oS,j3,07/30/2012 09:04 PM,310568
3007,k,b4OKJ,08/05/1986 08:37 AM,670784
3008,G,7IJ,05/31/1971 02:05 AM,956759
3009,4J,OPuX,06/22/2000 12:30 PM,994547
3010,LPe,M8a2,06/01/1990 11:37 PM,372577
3011,H,VKfQ6,03/07/1999 08:10 AM,348769
3012,RT,rYjAZ,03/07/1970 06:27 PM,437566
3013,ebki,mbB,09/09/1985 02:52 AM,549152
3014,g7P,6GDL,03/26/1979 01:40 AM,201821
3015,A4OMy,8VY,08/10/1994 10:08 AM,104985
3016,fzj4u,Z,11/13/1981 10:09 PM,921843
3017,8J,P6lH,09/21/2002 03:18 PM,340208
3018,vs,8vmX,10/06/1984 03:51 PM,11996
3019,M3,6,05/23/1990 10:40 PM,70383
3020,tNts,rj,07/13/1978 11:40 AM,496266
3021,f,92,10/13/1987 11:53 PM,735876
3022,nwCii,In,03/28/1972 12:13 AM,901707
3023,T,mUQNr,04/12/1985 09:32 AM,796140
3024,AfD,NP,02/01/1982 08:42 PM,931753
3025,SFtn9,csXUV,05/10/1991 05:36 PM,727603
3026,t6sG8,1PCur,01/05/1980 09:18 PM,16525
3027,QzfMC,Ir,08/10/1975 07:40 AM,914541
3028,cQ1,AjS,12/30/1993 05:52 AM,6176
3029,PbdqS,X,04/04/2014 06:22 AM,988019
3030,JImt,Uaj41,06/05/1979 04:41 PM,433501
3031,p6l,soqZe,04/12/1995 04:02 PM,305579
3032,lUC,G,01/08/2002 10:44 PM,834607
3033,fmzz,XkEzV,10/13/2000 06:35 PM,986298
3034,AFwm,37aOY,12/24/1970 09:48 PM,496309
3035,pWWg,4,09/13/2012 01:43 AM,904967
3036,fBcjO,6,11/29/1982 03:08 AM,377478
3037,8t1M,zcnpN,03/21/1988 11:33 AM,690673
3038,jy,Usv,10/03/1991 05:23 AM,155294
3039,XNZt,e,03/07/1996 02:21 PM,607923
3040,gcz9,o,12/04/1986 03:15 PM,447605
3041,yPrA,YfHtl,10/14/1994 06:45 AM,224876
3042,UcdZB,GBF,03/20/1987 03:59 AM,503800
3043,lcAAD,vxi,10/05/2010 07:11 AM,263801
3044,95JW,yq,03/27/2006 06:30 AM,319292
3045,eBN6,sKa,08/12/2002 02:57 AM,659907
3046,XnlE1,6MXT,06/17/1989 05:47 AM,285372
3047,HnJTA,oeTiN,09/18/1990 01:46 PM,914808
3048,W,xYQhi,12/22/2011 12:12 PM,120109
3049,UGUJp,1VLA7,10/04/1979 06:35 PM,600401
3050,u,VYUr,03/05/1987 04:43 AM,102008
3051,WqGv,v,11/29/2013 09:37 PM,994477
3052,dr,S,04/15/1979 02:08 PM,152234
3053,gQcLE,k,09/13/1992 11:28 PM,789933
3054,Fra,J,09/28/1985 11:38 PM,503204
3055,gQIS,sXw,10/26/2000 08:35 AM,868003
3056,6,9,03/28/2014 12:30 AM,833657
3057,f,aHeU,04/27/1984 12:02 PM,148500
3058,2O2,U,11/24/1997 10:46 PM,4646
3059,4HJwy,eUUBp,04/13/1996 09:28 AM,78070
3060,5uqV,xxz,09/16/2007 11:52 PM,339945
3061,CN3d,q,11/21/2002 10:14 AM,956263
3062,f7,NHFz5,03/17/1994 03:18 AM,161533
3063,AGW,xXzwS,11/15/1990 12:40 AM,383668
3064,hJs,o9,03/18/1980 09:09 AM,531414
3065,nx,u,12/18/2007 05:29 PM,390857
3066,DaLO,BZ,06/23/2001 07:54 AM,712228
3067,qa8T,frSS,10/10/1994 12:00 PM,767437
3068,N4q,MhN,11/18/1980 04:08 PM,737219
3069,fV,mdT,05/07/2005 04:51 AM,195466
3070,OgRkh,n6xir,01/26/1981 12:13 AM,312811
3071,r,Sz7,06/18/2014 04:40 PM,233011
3072,7MZ,1mk3,12/14/1981 10:05 AM,790507
3073,GPWg,wdbt,07/21/1991 02:50 AM,696222
3074,S2,4FV1i,02/03/1987 11:24 AM,23888
3075,EfAS,Y,03/28/1994 12:29 AM,327130
3076,5,PWN,06/25/2000 03:02 AM,62334
3077,fOV,XBRl,07/16/1987 03:36 AM,782363
3078,2zh,CQQ,01/21/1986 12:02 PM,652967
3079,W1,SOv,10/26/1979 07:24 PM,459356
3080,p8gM,W3M,04/27/1970 07:20 PM,519955
3081,vLpz,NSJqL,11/24/2013 12:01 AM,836179
3082,vG9G,EP,01/02/1971 07:29 AM,460619
3083,12S,7mHnc,02/16/1973 07:18 PM,175561
3084,aox,fpZe,04/22/1984 10:49 PM,467855
3085,9,avKm,07/23/2006 04:53 AM,335806
3086,YOH,H,07/23/1991 05:20 PM,165278
3087,Tnv,wM,04/04/2001 09:13 AM,37765
3088,AX,75JR,03/18/1980 02:01 PM,173334
3089,wb,Bi,08/26/1975 02:17 PM,495676
3090,BY7c,Wem,04/25/2012 08:59 PM,375810
3091,I,73,08/28/1998 02:51 PM,951110
3092,ZKY,6,08/15/1973 06:50 AM,42783
3093,9ZJd,iMFLM,01/01/1994 11:11 PM,95427
3094,u,ml4,04/23/2008 01:42 PM,429618
3095,P,M,08/27/2005 07:36 AM,622231
3096,3,uIh,11/13/1999 06:54 AM,520789
3097,d1Lw,Zi,03/23/1975 02:29 AM,499954
3098,gq8yP,p7e,04/02/1988 05:47 AM,782463
3099,Uv,6io,07/02/2013 08:48 AM,509825
3100,cC2IU,PqoL,03/14/1985 01:10 AM,984733
3101,hknGp,88,08/05/2012 05:28 PM,638759
3102,cT,5wgu,05/25/1990 12:19 AM,645807
3103,y,n39r,10/14/2012 12:11 AM,884028
3104,Jvx44,6dMXo,12/28/1984 06:24 AM,892492
3105,Wpu9,tEqC7,10/14/2011 06:16 AM,405698
3106,RN,dze,02/04/1996 12:51 PM,77419
3107,HYkP,6imL,01/24/1973 06:08 PM,37605
3108,IJC,Q6Rk,07/19/1972 04:37 PM,848911
3109,3,4kz,12/06/1970 04:43 AM,184852
3110,R525,IUCQ,12/19/1983 05:24 PM,520840
3111,ZZp,Bwo,12/09/2005 12:36 AM,974302
3112,L,9aj,10/09/1980 08:22 AM,991758
3113,y,XiKnm,07/08/1973 04:43 PM,373749
3114,bYS,w,04/01/2008 06:14 PM,130707
3115,86,n,06/26/2003 10:37 PM,127064
3116,ZBH,oT,07/10/2010 03:31 PM,363734
3117,gxi,E4yk,08/16/2002 12:45 AM,155687
3118,GLlu,d6Gt,09/02/1980 05:51 PM,82585
3119,2,RDsjq,04/11/1981 05:09 PM,165976
3120,Yqmyg,kq4O,11/27/1975 02:39 AM,869271
3121,WztIq,l,07/19/1993 07:04 AM,716646
3122,sI8d,UGpT,10/12/2011 12:55 AM,810510
3123,UU,XEIWF,06/13/1998 12:56 AM,815520
3124,jgkcu,fzy,02/08/1980 11:15 AM,46244
3125,X,5puB,10/24/1988 08:32 PM,768294
3126,P1Ah,eIlP,08/03/1970 06:29 PM,197875
3127,ekuwx,88,05/22/2003 03:50 AM,336181
3128,IvgrC,S1,04/04/1971 02:28 AM,672852
3129,scKtn,vgAm,05/27/2001 06:55 PM,247286
3130,uPPaE,tL,06/19/2014 11:55 PM,418053
3131,RyOj,dtqT7,10/09/1996 07:27 AM,731670
3132,Kp,Ww,08/22/2005 12:29 AM,276406
3133,Xh,QtP2,06/25/1982 01:42 PM,598988
3134,p2J,3K,01/01/1975 11:29 PM,452980
3135,LSqh,vYez,03/20/1982 06:22 PM,309385
3136,nbsj,MVcZT,06/18/1971 08:20 PM,214526
3137,M,iJFW,07/29/2000 09:50 AM,668708
3138,hB,f1,04/05/1982 03:03 PM,380069
3139,oBw6,Xi7,04/26/2007 08:07 AM,800089
3140,J,eMc,03/13/1970 06:41 AM,799732
3141,eV4p,kj,07/07/1991 12:26 AM,27630
3142,7E,dQ,03/09/1993 04:24 PM,685954
3143,uBpz,ib3qa,12/04/1997 11:27 AM,808051
3144,7nE,knOyM,02/10/2012 11:44 AM,387143
3145,84G,D,10/01/2010 05:34 AM,922152
3146,g,aU2K,03/26/2005 04:52 AM,820410
3147,AkJUL,5GZ5u,01/19/1980 07:44 AM,725310
3148,Xipnu,VpuV,04/02/1971 06:40 PM,254224
3149,6YTiE,o2pi,08/21/1995 02:29 PM,167134
3150,lB,g5b,10/02/2008 04:32 PM,481084
3151,S,5WU3,07/07/1974 08:59 AM,24186
3152,lRv,MNk,08/28/1996 02:14 AM,254959
3153,wbb,mKs,06/03/1992 11:42 PM,584917
3154,L3,OaO,01/16/2013 05:22 AM,211761
3155,fG7,aL,08/31/1978 10:38 PM,649305
3156,cS,kdjv7,07/14/2008 07:24 AM,603979
3157,Og1wS,7d,07/12/1983 12:55 AM,615440
3158,X,VgZ,01/20/2012 01:49 AM,57890
3159,sBpxN,P6L,12/14/2005 10:29 AM,766203
3160,gUy8,wn6,10/27/2007 01:58 PM,600572
3161,O7qN,RKiE,11/30/1972 12:28 PM,192836
3162,Qyg,Ohj,05/02/1995 03:02 AM,71017
3163,ly1,dkB,09/21/1973 05:55 PM,651356
3164,es,N,09/11/2001 01:56 PM,253752
3165,Skx,d,07/04/1982 07:57 PM,525503
3166,Dr9e,P3,03/22/1996 08:01 AM,584038
3167,IpP,sSV,11/22/2013 01:51 PM,12833
3168,nI8,t,01/03/2007 06:00 AM,728600
3169,laK,C53h3,02/11/1998 04:28 AM,581121
3170,h,cvB,07/08/2004 01:02 PM,383114
3171,t5V,VM,05/03/1974 09:34 PM,588367
3172,wMyqB,5,12/02/1980 02:42 AM,866742
3173,5,mp,09/01/1972 02:39 AM,729176
3174,iTw,LeU,03/26/1974 11:23 AM,743227
3175,yL,7pF6n,02/26/1984 03:53 PM,17225
3176,Dy,gPMD,03/21/2004 04:07 AM,732041
3177,e7TZq,hd,11/30/1999 01:15 AM,471348
3178,BRTJ3,FV,09/12/1996 05:43 PM,22209
3179,OBp,khnzV,11/27/1999 02:35 PM,357060
3180,vDl,L,09/29/2008 08:34 AM,762003
3181,GM,7s9Z,03/01/1970 11:48 AM,956933
3182,jKbpX,yea,02/27/1986 12:57 AM,787672
3183,A,j6,04/18/1998 04:58 PM,546712
3184,z13,zPUf,09/01/1978 05:22 PM,548284
3185,JIhG,AEv,09/07/1971 11:44 AM,581865
3186,rA,2pC,11/02/1987 01:32 AM,484586
3187,E44BI,D3,09/18/2010 08:48 AM,645896
3188,sR,uQVD,05/16/1978 05:20 PM,863646
3189,Gn,jZLm,12/03/1993 06:45 AM,838945
3190,eV,vk,09/24/1976 05:41 AM,92922
3191,c6LY,g,01/24/1988 08:03 PM,869409
3192,kuA6H,h,03/31/1971 11:22 PM,678341
3193,x6BM,vrqk,06/28/1983 08:02 PM,504163
3194,56Bw,TvS,02/27/1986 05:34 AM,365585
3195,S5Zz,7Fy,12/25/2008 10:21 PM,947833
3196,eJnp,G,04/15/2009 09:22 AM,73918
3197,Q,9u6zS,10/31/1990 06:07 PM,774074
3198,a2KPt,y,02/12/2005 08:54 PM,917706
3199,2H,Nbqi,08/02/2011 11:57 PM,160894
3200,cs,uAm,02/05/1975 08:12 AM,298255
3201,zUg,Sc,01/14/1989 05:23 PM,367063
3202,dartI,LDN,07/24/1982 02:19 PM,276398
3203,fr,DeQ,09/14/1998 08:09 AM,329795
3204,OvsR,Y,05/12/1980 04:20 PM,744965
3205,tP,73Pg,02/19/1994 05:42 AM,570382
3206,htRRY,SxqE,03/31/2000 09:17 PM,447840
3207,VA,8c,04/27/2003 05:32 AM,551731
3208,56dN,vGF,02/16/1998 07:53 PM,216947
3209,3bBDo,faw,06/23/1978 08:19 PM,612899
3210,v1nz,WX,08/21/1983 06:08 AM,455595
3211,H2it,r2,03/25/2004 01:55 PM,674048
3212,dxTPf,ou,04/27/2011 06:25 AM,857615
3213,Meu,X5,05/07/2003 07:11 AM,997909
3214,2oeQ,4yn,04/21/1980 10:48 PM,504169
3215,61R,Uh,05/07/1994 02:06 AM,73726
3216,YngsT,Q,05/04/1977 11:50 PM,541829
3217,A68fZ,o7,10/28/1976 10:48 PM,584377
3218,q4ogU,CoK,06/03/1976 10:40 PM,501336
3219,eDTQi,w,12/31/1987 12:39 PM,939941
3220,orTT,J,05/28/1975 09:04 AM,92937
3221,dYA,4I,02/26/2009 11:45 AM,578222
3222,RApGE,6MV4,09/12/2003 01:28 PM,941153
3223,RGww,el2r,09/23/2007 08:56 AM,790775
3224,piqA,R,09/28/1994 10:54 AM,294206
3225,O,KB,01/21/1987 04:47 PM,251190
3226,9AG,JLy7,01/24/2002 09:05 PM,46668
3227,Px5b,vJ,01/20/1992 01:46 AM,167658
3228,EAUAP,z,12/01/1987 10:12 AM,183105
3229,8qWfn,UWlnk,02/04/1981 02:36 PM,225326
3230,i5D,8O,10/01/1971 01:43 AM,234786
3231,aa,UmQ,11/17/1982 07:02 AM,199007
3232,MWT,UKdjH,03/11/1979 03:04 AM,816511
3233,kc3S,x4,09/30/2005 05:59 AM,792186
3234,tpiuN,Q8,11/18/1998 02:18 PM,916083
3235,tob,X,11/20/1993 11:10 PM,490052
3236,aQs,eCAo,04/19/1988 08:32 PM,551381
3237,ph8,a,10/28/1972 12:58 AM,982387
3238,mWoh,Zee,02/05/1990 09:28 PM,902027
3239,r,OaJBy,05/10/1983 07:11 PM,922653
3240,XBy,28,05/18/2011 01:09 PM,437718
3241,OHUs,OJ,02/05/1999 03:16 PM,704253
3242,ufKn,Ecq,07/08/2007 11:13 AM,301804
3243,wD,U,04/19/1972 07:13 AM,8720
3244,N,HB,09/13/1990 07:21 PM,344426
3245,9,A,02/27/2012 01:58 AM,748915
3246,Jsp7,sdP,11/18/2009 03:23 AM,335954
3247,PnkZ,8YeSG,12/09/1993 07:30 AM,878451
3248,c,DU,07/02/1979 02:47 PM,341499
3249,ZCsN,DE,07/27/1981 01:57 PM,404701
3250,fh2,wLaK,08/23/2000 09:21 PM,219443
3251,e,s,06/08/1998 06:07 AM,774985
3252,MU3HS,XD,05/24/2003 02:52 AM,363789
3253,K2,Ld3Q,04/15/1993 07:23 AM,587972
3254,u,9vy,04/28/1986 09:29 AM,996358
3255,2aAN,SIHsH,02/17/1981 12:40 PM,455677
3256,NWX,9il,10/20/2005 09:08 PM,456554
3257,yb3mT,9,12/01/1990 08:55 AM,4382
3258,M5Y4L,iwWkR,11/22/1986 02:21 PM,337089
3259,3SS,KctZ,02/23/1983 11:27 AM,437225
3260,xk,fgEL3,04/20/2014 10:43 AM,252271
3261,pY6j5,5S2,05/18/1978 01:32 AM,694766
3262,m,sD,11/21/1980 06:10 AM,557446
3263,p4lu,XajlP,01/06/1973 12:09 AM,698093
3264,mP,MVwk9,09/09/1995 08:49 PM,853355
3265,xWrJR,zHto,04/09/2014 09:01 AM,951493
3266,ta,8kw,08/21/2010 10:40 AM,929011
3267,zz,l,06/12/1973 03:25 AM,489999
3268,mh,V,11/29/1975 08:46 AM,850295
3269,Sua,E4H,04/15/1997 07:32 PM,855556
3270,DmD8V,839L,01/29/1984 05:44 PM,23484
3271,igO,Hl,06/27/1977 07:27 AM,733856
3272,qM,dEu,10/08/2013 12:14 PM,4317
3273,whid,hDzG,10/31/2007 02:25 PM,313672
3274,69,H,09/04/2003 01:11 PM,907401
3275,z,6,07/17/1999 02:18 PM,715518
3276,x3l,A,03/14/1981 03:28 AM,898496
3277,idM,d,09/02/2005 06:43 AM,852876
3278,x8,u,07/22/2006 02:55 PM,212290
3279,gA,N,02/20/2005 12:14 PM,892674
3280,v,b,10/06/2013 11:58 AM,200601
3281,WH,I2EN,06/01/2008 11:57 AM,263146
3282,AXBml,F,01/31/2009 05:12 AM,36337
3283,MLK,MJz,06/05/2000 05:05 PM,776663
3284,aOc,lF15C,12/20/2006 08:22 AM,122773
3285,9,oCmW,08/14/1970 08:44 PM,126527
3286,cTA,P,09/01/1971 06:06 AM,37805
3287,A9QH,8ApB,05/02/1976 06:36 PM,584909
3288,O,TrOq7,07/09/1992 07:20 PM,739681
3289,S53w,Gx3,12/15/2013 12:54 PM,708058
3290,Xja9J,rx2ZN,09/10/1984 04:53 PM,114073
3291,oH,zGP,10/05/2012 10:40 AM,5286
3292,tQ,W8u,04/24/1987 10:27 AM,936769
3293,UYQ9p,neue,01/11/1999 05:54 AM,673425
3294,Z,lob9k,09/28/2011 12:40 AM,751787
3295,v,v,06/13/1971 02:27 PM,848503
3296,7Ib,h3GF,04/13/1981 02:38 PM,479392
3297,3xF,N,06/18/2009 08:19 AM,200825
3298,i,n,06/20/1985 05:38 AM,28843
3299,RJtT,DCwh,03/31/1981 10:59 AM,789617
3300,bn,7ZDOk,07/05/1977 11:13 AM,4162
3301,sLmj,P1,06/07/1978 01:53 PM,87101
3302,4g,d,10/26/2011 05:17 AM,690555
3303,Dp9tp,UtE,12/28/1974 10:41 PM,5411
3304,jr,M4,07/19/1983 11:19 AM,577713
3305,5QP1Y,Uhd,01/12/1984 09:54 PM,23406
3306,Dey,tbSl3,02/21/2004 02:37 AM,571416
3307,V,bNFv,07/25/1981 02:27 PM,905422
3308,b,Q9Ok,02/09/2002 03:39 PM,188435
3309,hqQ,E43wz,04/02/2002 07:52 PM,992011
3310,s,cs7k,09/19/1995 11:10 PM,82008
3311,M,Lp,11/21/1979 10:48 PM,514536
3312,2uy,K,11/22/2014 04:15 AM,112383
3313,DbR6,O6,05/20/1970 08:59 PM,288273
3314,wLR,d,02/20/2003 08:47 AM,152789
3315,716A,1FN,03/09/1987 04:56 AM,181076
3316,y1WVV,mBKNB,09/16/1974 08:03 PM,838389
3317,Z,AuBU,11/30/2011 12:24 PM,699721
3318,3D,OeWGf,08/18/1976 06:21 AM,344203
3319,Oh,Urva,09/07/1981 09:16 AM,925715
3320,yZc7,zHY,11/18/1989 02:27 AM,776996
3321,jGZ,a,12/08/1978 04:12 AM,982079
3322,ZAPjg,RKM,05/07/2010 12:41 AM,587221
3323,kf,Xbo,02/12/1971 04:50 PM,206538
3324,cM,u,12/08/1987 12:52 AM,441214
3325,H,8l,10/10/1986 05:59 PM,324207
3326,Xp,RuW,11/21/1974 07:30 AM,782873
3327,x2Up,L8K,07/26/1980 09:01 AM,99791
3328,dNmtv,OU,11/17/1995 05:03 AM,728508
3329,wKG1q,4M45,08/25/1991 07:22 AM,251963
3330,RJUQ,t1LNf,10/04/1970 12:44 PM,438734
3331,b,M,01/27/1978 07:18 AM,673547
3332,aAKT,vWV,04/28/1987 11:18 PM,481734
3333,PTsWJ,IYi,12/11/2001 12:59 PM,283007
3334,X,o,06/18/2011 04:00 PM,950407
3335,Ta8NH,3SUgk,03/22/1979 07:39 AM,837282
3336,4,esC8,03/23/2012 04:41 AM,349300
3337,g,S7w,04/14/1976 11:08 AM,892090
3338,aL,5p,07/27/1984 10:04 PM,884461
3339,Lhlk,tvA,03/20/1976 05:04 AM,850660
3340,XQt,KzEXV,10/20/1971 09:47 PM,189330
3341,Jo,Uxcl6,05/28/2001 11:08 AM,606196
3342,tjgM,roY,01/16/1994 04:56 AM,475534
3343,H4o,yMonG,02/08/1970 03:28 PM,690860
3344,Vk,NSjqQ,08/18/1987 07:50 AM,876900
3345,a1z1b,rcKrk,05/06/1998 04:09 AM,199942
3346,w,js,09/25/1973 04:48 AM,209216
3347,X,XMat,02/28/2010 02:17 AM,585140
3348,IKgLO,qu,01/28/1978 08:10 AM,622296
3349,pP,xBdKX,12/10/1990 10:27 PM,531333
3350,U,3,01/20/1985 12:34 PM,33559
3351,6vg,CSgW,09/10/2002 09:47 AM,982857
3352,FKnRp,5,09/04/1989 10:42 AM,494082
3353,TLX,o,02/22/1970 07:12 PM,158711
3354,qP8,E,11/06/2013 01:06 AM,837423
3355,3s,hXccX,03/25/2006 11:10 AM,265621
3356,eEC,Zn1t,02/14/2001 05:13 AM,936103
3357,FpE9,SbU,11/07/2000 08:58 PM,783539
3358,m,G,12/13/1970 04:58 PM,751889
3359,eutR,H,01/02/1992 11:03 PM,751126
3360,sE1,c,11/29/1971 10:39 AM,328569
3361,2n2c,8Pp8,07/12/2013 04:17 PM,476481
3362,AI,NtRql,10/12/1992 10:34 PM,568369
3363,Yqq,8wVu6,06/22/2013 11:23 AM,659092
3364,e3,zCdeS,10/08/1992 11:42 AM,186091
3365,Unkq,5cZRC,03/24/1998 02:05 AM,43029
3366,myz9,x,03/17/1977 03:21 AM,98449
3367,l,RdM,04/10/2010 02:49 PM,146817
3368,L,C,05/29/1995 10:29 PM,500244
3369,QZ,tC57U,06/19/1988 01:49 PM,752582
3370,O,4Ngp,09/19/1974 03:02 PM,831971
3371,6,OVk,03/14/2006 11:29 PM,668387
3372,u7f,WTO,02/24/2011 12:30 PM,196499
3373,LtKO,Cv7jr,01/14/1995 03:59 PM,543930
3374,ZOe2c,d,06/20/2007 03:33 AM,468916
3375,b,ezbz,06/11/1977 08:28 AM,115633
3376,TWqu4,f,08/17/2006 04:29 AM,976228
3377,FNp,YRgP,01/08/1983 09:51 PM,439994
3378,fB48h,T,09/01/1986 09:58 AM,492214
3379,yrF,Mp,11/18/1993 06:09 AM,338859
3380,N,VvA,09/10/2010 08:54 PM,786247
3381,yshF,xUE,09/22/1987 01:15 PM,431801
3382,U,gkfh,03/22/1973 11:05 AM,574431
3383,cz3b,7yL,06/24/1999 06:50 PM,64654
3384,kyp22,HLPl,06/25/2012 11:55 AM,180356
3385,kAHn,QBY,11/13/1999 01:45 AM,510287
3386,CMGx,JZi,11/01/2007 11:08 PM,10214
3387,TsBa,sxl,05/07/2002 07:29 AM,481835
3388,JjVc4,lBTP,06/23/1982 06:47 AM,874161
3389,3t,mP64V,07/08/2002 04:52 PM,728987
3390,U,Ilx,10/12/2006 07:57 PM,311867
3391,7,Hea5a,03/11/2009 04:59 PM,234093
3392,z1Ser,DpiIX,07/21/1984 05:21 AM,608231
3393,4xPu4,I9,11/22/1975 01:59 PM,952741
3394,6HE,aaVfI,07/08/2004 04:10 AM,851192
3395,8l,GHx,07/23/2007 10:13 AM,886100
3396,Qg,4vrG,12/25/2011 06:08 PM,771488
3397,6,OV,10/31/1998 05:15 PM,565784
3398,EF,lWFN3,11/20/1987 03:56 PM,335457
3399,dgoP,7t,05/26/1987 05:51 PM,320115
3400,a,CZY7i,11/16/2012 08:37 PM,129837
3401,dAxX,D,04/19/2004 02:29 PM,375269
3402,Jp,B,07/18/2004 06:56 PM,498491
3403,K,YQA,04/26/2008 12:18 AM,106965
3404,E,mduL,08/28/1972 02:02 PM,543624
3405,TB,qa,08/04/1995 09:46 AM,480945
3406,6o,TN,07/26/2005 07:13 PM,879570
3407,te,q,09/30/2005 06:49 AM,972122
3408,tK1,9o8rp,09/06/2004 05:06 PM,9976
3409,z65,6v,11/07/1982 08:05 AM,180084
3410,TqiJ3,q3,08/13/1991 11:53 PM,199322
3411,Qfo,m9,02/10/1977 12:12 AM,668383
3412,aoV,jEk,03/21/1981 06:35 PM,588702
3413,14tc,lcWF,03/30/1989 02:42 PM,458149
3414,AEAO,NOU,10/27/1984 06:18 PM,205561
3415,y,fA3U,05/31/2008 08:59 PM,749115
3416,DI,d,07/16/1974 12:46 AM,245863
3417,KO1As,GZ,01/03/1974 04:34 AM,373976
3418,j9Lc,gE,07/24/1979 01:08 PM,633675
3419,rmNP,b,01/30/2008 09:54 PM,560372
3420,Fh1,1eN,10/03/1991 05:22 PM,493761
3421,w4,AyR,11/15/1992 11:39 PM,657841
3422,4MGMn,lKoGc,11/05/1985 03:50 AM,993513
3423,j,Hw9CA,06/19/2001 12:56 AM,393573
3424,v4,Q,04/08/1989 03:02 PM,386004
